회원코드,프로그램,상태,프로그램가격,최종결제금액,결제시각,결제유형,채널,보조식품가격,보조식품(추가구매)
RYBGR9LY,체중감량 프로그램 (타입 A),cancelled,112500,112500,2017-07-21 오후 7:34:21.096000,Recurring,facebook,0,구매안함
PTHKQ0PW,체중감량 프로그램 (타입B),completed,112500,112500,2017-04-24 오전 1:05:13.168000,Recurring,others,0,구매안함
UFA4SCNB,체중감량 프로그램 (타입B),cancelled,112500,129500,2017-04-26 오전 1:13:13.272000,Recurring,facebook,0,구매안함
6ISR3P9X,체중감량 프로그램 (타입 A),completed,112500,112500,2017-08-20 오후 11:01:07.752000,Recurring,facebook,0,구매안함
QX7JCNHL,체중감량 프로그램 (타입 A),completed,112500,112500,2017-08-04 오후 1:00:46.664000,Recurring,facebook,0,구매안함
BUIEE5PM,체중감량 프로그램 (타입 A),cancelled,112500,112500,2017-07-25 오후 1:44:54.000000,Recurring,facebook,0,구매안함
JPMUCI9A,체중감량 프로그램 (타입 A),completed,112500,129500,2017-06-13 오후 10:57:44.208000,Recurring,facebook,17000,식이요법보조제A
RYG2RYH2,체중감량 프로그램 (타입 A),completed,68900,68900,2017-08-10 오후 5:54:02.928000,Recurring,naver,0,구매안함
TPUNC5ZK,체중감량 프로그램 (타입 A),cancelled,112500,112500,2017-08-10 오후 5:33:44.136000,Recurring,facebook,0,구매안함
YD8GI9WJ,체중감량 프로그램 (타입B),completed,112500,112500,2017-04-21 오전 1:19:39.032000,Recurring,direct,0,구매안함
E3N82CRP,체중감량 프로그램 (타입 A),completed,112500,129500,2017-08-23 오전 5:43:21.288000,Recurring,facebook,17000,식이요법보조제A
ZIZYOJQ6,체중감량 프로그램 (타입 A),completed,112500,112500,2017-07-27 오전 10:15:22.056000,Recurring,naver,0,구매안함
K706U01G,체중감량 프로그램 (타입B),cancelled,112500,112500,2017-05-21 오후 9:47:13.200000,Recurring,facebook,0,구매안함
