기준연도,시군명,연령대,성별,결제건수,결제금액,결제취소건수,결제취소금액,1회평균결제금액
2023,평택시,20,여,455562,9251103569,4030,121350400,20307
2023,평택시,30,남,894325,20504929866,7074,350262408,22928
2023,평택시,30,여,818134,21425007609,6511,300223068,26188
2023,평택시,40,남,1170029,33976120030,7622,390365841,29039
2023,평택시,40,여,1167790,33666814971,8570,364974316,28830
2023,평택시,50,남,797720,17677825922,4794,201989352,22160
2023,평택시,50,여,639757,14205747618,4571,158699501,22205
2023,평택시,60,남,342879,7248879258,2433,118928899,21141
2023,평택시,60,여,296024,6810321910,2353,94878785,23006
2023,평택시,70,남,76486,1726677170,546,25358422,22575
2023,평택시,70,여,74085,1774164413,546,18967690,23948
2023,평택시,80,남,12056,275176794,72,2566435,22825
2023,평택시,80,여,13353,329879709,107,4001125,24705
2023,평택시,기타,-,673924,14442647934,4607,124198723,21431
2023,포천시,10,남,7445,133960365,43,1198584,17993
2023,포천시,10,여,9585,172466723,73,2471180,17993
2023,포천시,20,남,101257,2123362015,1153,68545593,20970
2023,포천시,20,여,83629,1867154091,955,44001121,22327
2023,포천시,30,남,113389,2975920519,1816,130823297,26245
2023,포천시,30,여,95517,2859066866,1263,68490415,29933
